"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Eosinophil","","","GSE128027","RNASeq","","CYSLTR2","-4.447","-6.539","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","PTX3","2.449","6.534","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","CASS4","2.448","6.530","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","ETS2","2.443","6.518","True"
"Monocyte","","","GSE123270","MicroArray","GPL10558","MERTK","-1.314","-6.514","True"
"Monocyte","","","GSE41889","MicroArray","HG-U133_Plus_2","MRC1","7.544","6.513","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","SOBP","5.781","6.508","False"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","EXOSC4","2.439","6.508","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","PRKAR2B","2.289","6.508","False"
"Eosinophil","","","GSE128027","RNASeq","","HMOX1","4.422","6.502","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CD80","2.930","6.496","True"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","SPP1","1.024","6.496","True"
"Monocyte","","","GSE123573","RNASeq","","TGM3","4.415","6.496","True"
"Monocyte","","","GSE75938","MicroArray","PrimeView","CCL18","6.425","6.496","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","RSAD2","2.928","6.491","True"
"Monocyte","","","GSE41889","MicroArray","HG-U133_Plus_2","MREG","7.518","6.490","False"
"Eosinophil","","","GSE128027","RNASeq","","SEMA6B","4.411","6.486","True"
"Monocyte","48h","","GSE35304","MicroArray","GPL6480","NR4A2","-5.767","-6.485","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","CCL22","1.308","6.484","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","SVIL","2.280","6.480","False"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","HMGCS1","-1.022","-6.479","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","GBP1","2.920","6.474","True"
"Monocyte","","","GSE123573","RNASeq","","ADGRE3","4.398","6.471","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","CDK2","2.424","6.467","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","MT1E","-5.743","-6.465","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","ERAP2","1.304","6.463","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CLEC2D","2.914","6.460","True"
"Mdc","","","GSE89442","RNASeq","","IL7R","6.952","6.457","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","SPP1","5.732","6.453","False"
"Cd14Pos_Monocyte","72h","","GSE96703","MicroArray","GPL6947","S100A12","-4.048","-6.452","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","NR4A2","-5.730","-6.451","False"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","KLHL13","-2.667","-6.449","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","CD1B","2.268","6.447","False"
"Tf1.Pmscv-Puro Empty Vector","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","TCP11L2","-1.105","-6.439","True"
"Monocyte","","","GSE41889","MicroArray","HG-U133_Plus_2","F13A1","-7.454","-6.435","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","IL1RN","1.298","6.434","True"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","RNASE1","-1.014","-6.429","True"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","PIM1","1.013","6.428","True"
"Neutrophil","1h","","GSE70068","RNASeq","","TRAF3IP3","-2.194","-6.426","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","HRH4","5.701","6.418","False"
"Monocyte","","","GSE75938","MicroArray","PrimeView","FN1","6.340","6.410","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","YPEL4","-2.649","-6.407","True"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","CD80","5.776","6.406","True"
"Monocyte","","","GSE123573","RNASeq","","ADA","-4.353","-6.405","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","C9orf40","1.885","6.397","True"
"Mdc","","","GSE89442","RNASeq","","EGR2","6.887","6.396","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","MX1","-2.250","-6.396","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","CDKN1C","-5.671","-6.384","False"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","IFI44","-2.241","-6.370","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","RGS2","-5.657","-6.369","False"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","DCSTAMP","5.742","6.368","True"
"Mdc","","","GSE89442","RNASeq","","LAMP3","6.857","6.368","True"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","MMP10","5.739","6.365","True"
"Tf1.Pmscv-Puro Empty Vector","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","FAXDC2","-1.092","-6.365","True"
"Monocyte","","","GSE123573","RNASeq","","CD1A","4.324","6.363","True"
"Neutrophil","1h","","GSE70068","RNASeq","","WSB1","2.169","6.352","True"
"Monocyte","48h","","GSE35304","MicroArray","GPL6480","GPR82","5.647","6.350","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","FOSB","-5.640","-6.349","False"
"Monocyte","12h","","GSE35304","MicroArray","GPL6480","FLT1","5.991","6.349","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","FCGR2B","1.870","6.346","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","FOS","-5.636","-6.345","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","LRPAP1","1.868","6.339","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","SUCNR1","5.622","6.330","False"
"Neutrophil","1h","","GSE70068","RNASeq","","ZFP36L2","-2.161","-6.330","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","IL7R","2.227","6.329","False"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","N4BP2","2.372","6.329","True"
"Mdc","","","GSE89442","RNASeq","","TNFRSF18","6.809","6.324","True"
"Monocyte","12h","","GSE35304","MicroArray","GPL6480","SOBP","5.967","6.323","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","TMEM176A","-1.275","-6.322","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CNTNAP1","2.851","6.320","True"
