"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","MYORG","2.063","3.867","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","SNAI1","1.588","3.867","False"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","PIPOX","-2.313","-3.867","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","LPAR3","-2.313","-3.866","True"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","SEMA3A","-2.423","-3.866","False"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","SOAT1","1.185","3.865","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ATP1A2","-2.120","-3.865","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","CBLN1","1.379","3.864","False"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","TMOD1","2.061","3.864","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","CAMK2D","2.126","3.864","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","GLB1L3","-2.126","-3.864","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","DGKB","-1.184","-3.862","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","RRS1","1.378","3.862","False"
"Ipsc3.6","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","COL6A1","1.984","3.861","True"
"Embryonic Stem","5d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","SLC46A3","1.922","3.859","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","NLGN4X","-2.308","-3.858","True"
"Embryonic Stem Cell H1","24h","","GSE99202","RNASeq","","FSCN1","1.693","3.858","False"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","GALNT18","-1.376","-3.857","False"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","IFI16","1.183","3.857","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","ZNF204P","-1.376","-3.856","False"
"Embryonic Stem Cell H1","30h","","GSE99202","RNASeq","","ACTA1","-1.938","-3.856","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","PSMB8","-2.306","-3.855","True"
"Embryonic Stem Cell H1","30h","","GSE99202","RNASeq","","TCF7L1","-1.938","-3.855","True"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","FUT8","2.056","3.855","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","CLIC3","0.735","3.854","False"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","CR2","-1.182","-3.854","True"
