"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","ANXA2P1","-0.439","-2.505","True"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","B9D2","0.918","2.505","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","RGS4","-0.439","-2.503","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","BEX1","0.516","2.502","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","IRF7","0.439","2.502","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","DSCAM","0.658","2.502","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","HEG1","0.439","2.501","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","FAM160A1","-0.658","-2.501","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","RAB14","-0.353","-2.500","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","ASZ1","-0.658","-2.500","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","CYP4F12","-0.515","-2.499","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","GAS2L2","0.438","2.498","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","RAB31","0.515","2.498","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","KCNJ2","0.353","2.497","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","CDNF","-0.621","-2.497","False"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","THEG","0.353","2.497","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","GCSH","0.515","2.496","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","LTO1","-0.515","-2.496","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","PTPRB","-0.621","-2.496","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","SLU7","0.515","2.496","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","AMER3","0.437","2.494","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","DLX6","-0.620","-2.494","False"
"Fibroblast","15d","0.2ug","GSE81997","MicroArray","GPL17077","HIRA","0.914","2.494","True"
