"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","CDC45","-4.385","-5.541","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","PDK4","-3.175","-5.540","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","BMP2","3.087","5.536","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","ANGPTL4","1.482","5.535","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","IGFBP3","3.171","5.534","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","BTG2","0.400","5.534","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","ANLN","-2.643","-5.533","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","SCD","-0.496","-5.533","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","ITGB3","4.378","5.532","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","ULK1","1.688","5.531","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","CYSRT1","-3.518","-5.530","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","CRLF1","4.376","5.529","True"
"Heart Valve Endothelial","8h","","GSE65445","MicroArray","GPL10904","SERPIND1","-1.956","-5.529","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","ASF1B","-4.375","-5.529","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","THBS1","2.845","5.528","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","ALDH2","0.455","5.527","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","GEM","2.638","5.525","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","RASL12","-2.307","-5.523","False"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","P2RY6","3.945","5.522","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","THBS1","1.685","5.522","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CENPN","-0.495","-5.520","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","DYRK2","0.399","5.520","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","SRPX","3.078","5.520","True"
"H358 Lung","2h","285U/mL","GSE125365","RNASeq","","HSPA1A","-0.448","-5.518","False"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","JSRP1","0.454","5.517","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","CCN1","1.684","5.516","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","NAP1L3","-3.075","-5.515","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","MT2A","3.160","5.515","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","PADI3","1.476","5.513","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","SOX2","-2.838","-5.513","True"
"B","14d","2.5ng/mL","GSE120367","MicroArray","GPL10558","SLC38A10","0.568","5.513","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","CDCA7","-4.363","-5.513","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","RGCC","-0.452","-5.512","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","LIX1L","3.507","5.512","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","DNAJC12","-3.159","-5.512","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","TBC1D8","2.956","5.508","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","CD19","-0.494","-5.507","True"
"Heart Valve Endothelial","8h","","GSE65445","MicroArray","GPL10904","CYP1A1","-1.948","-5.506","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","FOXO1","3.069","5.505","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","RPS10","0.398","5.504","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","KIF20A","-2.832","-5.502","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","RRAD","1.472","5.500","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","ASPM","-4.351","-5.497","True"
"H358 Lung","18h","285U/mL","GSE125365","RNASeq","","CITED4","1.654","5.494","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","FLG","-2.624","-5.493","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","TNFRSF11B","-2.947","-5.493","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","E2F2","-0.450","-5.493","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","KCTD11","1.470","5.490","True"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","CD48","-0.404","-5.489","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","TIMP4","3.060","5.487","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","LPIN1","0.452","5.487","True"
"H358 Lung","1h","285U/mL","GSE125365","RNASeq","","CBX3P2","0.433","5.484","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","G0S2","2.618","5.482","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","PFKFB3","3.056","5.481","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","MT1X","-0.396","-5.479","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CDCA5","-0.449","-5.479","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","LCP1","-0.449","-5.479","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CDCA5","-0.491","-5.479","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","PITX2","2.287","5.477","False"
"B","14d","2.5ng/mL","GSE120367","MicroArray","GPL10558","MIR600HG","0.564","5.476","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","NUF2","-2.819","-5.476","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","RASAL3","0.491","5.472","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","GPX3","3.050","5.469","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","PRSS35","2.283","5.467","False"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","ADAMTS5","-2.611","-5.466","True"
"B","14d","2.5ng/mL","GSE120367","MicroArray","GPL10558","HOXB2","0.563","5.465","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","ATP8B2","3.477","5.464","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","HES6","0.395","5.464","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","NABP1","-2.609","-5.463","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","S100A4","-3.130","-5.462","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","HSD17B6","-2.931","-5.462","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","PKIB","-2.280","-5.460","False"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","JARID2","2.607","5.460","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","NKD2","-3.473","-5.458","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","MMP3","2.930","5.456","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","SHISA2","-0.489","-5.456","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","APOC1","-3.126","-5.454","True"
"H358 Lung","1h","285U/mL","GSE125365","RNASeq","","SCARNA9","0.431","5.454","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","GPR18","-0.490","-5.453","True"
"B","12h","2.5ng/mL","GSE120367","MicroArray","GPL10558","UCP2","-0.465","-5.453","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","OLFM2","3.469","5.452","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","PTX3","-2.926","-5.452","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","PTPRZ1","-1.664","-5.450","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","MYADM","1.663","5.449","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","NID1","2.923","5.448","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","OIP5","-0.447","-5.446","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","CCDC68","2.924","5.444","True"
"B","3h","2.5ng/mL","GSE120367","MicroArray","GPL10558","BCOR","0.393","5.444","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","TMEM59L","1.457","5.443","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","ALDH2","0.489","5.442","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","ARHGEF19","2.922","5.441","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","ADH1B","2.922","5.440","True"
"B","14d","2.5ng/mL","GSE120367","MicroArray","GPL10558","ZDHHC23","0.560","5.439","True"
"B","7d","2.5ng/mL","GSE120367","MicroArray","GPL10558","GZMA","-0.500","-5.439","False"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","ITGB3","2.799","5.438","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","EFNA1","1.660","5.438","True"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","ASAP1","0.401","5.437","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CCNF","-0.488","-5.436","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","LHB","3.458","5.436","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CCNB2","-0.487","-5.436","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","F3","2.919","5.436","True"
"B","14d","2.5ng/mL","GSE120367","MicroArray","GPL10558","IER2","-0.559","-5.432","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","FOXO1","2.592","5.427","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","GREM1","-3.026","-5.426","True"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","CLSPN","-3.876","-5.426","True"
"H358 Lung","18h","285U/mL","GSE125365","RNASeq","","ZC3H12A","1.633","5.426","True"
"H358 Lung","6h","285U/mL","GSE125365","RNASeq","","AIM2","-0.456","-5.422","False"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","SMAD7","0.400","5.422","True"
"Heart Valve Endothelial","8h","","GSE65445","MicroArray","GPL10904","GSTT2","-1.918","-5.422","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","GPNMB","-1.655","-5.421","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","EDN1","1.654","5.420","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","BEX1","-2.910","-5.418","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","SYNPO2","-2.587","-5.418","True"
