"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hvk","24h","","GSE54181","MicroArray","GPL10558","MMP3","-0.900","-4.534","True"
"Primary B","1h","","GSE132835","RNASeq","","NFKB2","2.194","4.533","True"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","RGS2","-1.119","-4.533","False"
"Immature Dendritic","3h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","NFXL1","-1.313","-4.533","True"
"Immature Dendritic","24h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","GADD45B","1.773","4.532","True"
"Hvk","24h","","GSE54181","MicroArray","GPL10558","P4HA2","0.899","4.532","True"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","SATB1","-1.350","-4.531","False"
"Hfk2","24h","","GSE54181","MicroArray","GPL10558","PDK4","0.993","4.531","True"
"Bladder Carcinoma","24h","1ug/mL","GSE98891","MicroArray","HuGene-1_0-st-v1","SPNS2","-0.976","-4.528","False"
"Immature Dendritic","24h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","GPX3","-1.771","-4.527","True"
"Hck18","2h","","GSE54181","MicroArray","GPL10558","EFNB1","0.633","4.526","True"
"Primary B","1h","","GSE132835","RNASeq","","PLEK","2.190","4.525","True"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","GPAT3","-1.591","-4.524","False"
"Primary B","18h","","GSE132835","RNASeq","","BCL2L1","3.198","4.524","False"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","IPCEF1","-1.347","-4.523","False"
"Hck","24h","","GSE54181","MicroArray","GPL10558","SLC2A12","0.762","4.523","True"
"Primary B","18h","","GSE132835","RNASeq","","ATF5","3.197","4.523","False"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","IFI27","0.804","4.522","True"
"Immature Dendritic","24h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","PTGS1","-1.769","-4.521","True"
"Hck","24h","","GSE54181","MicroArray","GPL10558","KRT7","0.761","4.521","True"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","NSUN7","-1.346","-4.519","False"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","CD200","1.346","4.518","False"
"Immature Dendritic","24h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","PPM1K","1.767","4.518","True"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","BMP2","0.838","4.517","True"
"Bladder Carcinoma","24h","1ug/mL","GSE98891","MicroArray","HuGene-1_0-st-v1","PRSS23","-0.972","-4.513","False"
"Hfk1","24h","","GSE54181","MicroArray","GPL10558","CDC20","-0.745","-4.511","True"
"Hvk18","24h","","GSE54181","MicroArray","GPL10558","CCNA2","-0.836","-4.511","True"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","ZC3H12C","0.623","4.510","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","FOS","-0.635","-4.509","True"
"Hfk1","24h","","GSE54181","MicroArray","GPL10558","SHISA2","0.744","4.508","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","SAV1","0.973","4.507","True"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","RHOF","1.112","4.506","False"
"Depleted Islet","","","GSE8873","MicroArray","GPL1708","HS6ST2","-1.404","-4.504","True"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","RAMP1","-1.342","-4.504","False"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","PI3","0.800","4.504","True"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","SDC2","-1.341","-4.502","False"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","TUBAL3","1.583","4.501","False"
"Hfk16","24h","","GSE54181","MicroArray","GPL10558","HEG1","-0.947","-4.501","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","ACKR3","0.634","4.500","True"
"Hfk16","24h","","GSE54181","MicroArray","GPL10558","ERGIC2","0.946","4.498","True"
"Hvk18","24h","","GSE54181","MicroArray","GPL10558","TNFAIP2","0.833","4.496","True"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","NACA4P","0.834","4.496","True"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","CXCL16","-1.339","-4.495","False"
"Hck18","24h","","GSE54181","MicroArray","GPL10558","ITGAV","0.635","4.494","True"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","ZNF280B","1.580","4.494","False"
"Hck18","2h","","GSE54181","MicroArray","GPL10558","BCL3","0.628","4.492","True"
"Immature Dendritic","24h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","ANXA3","1.757","4.492","True"
"Hfk16","2h","","GSE54181","MicroArray","GPL10558","PI3","0.616","4.492","True"
"Immature Dendritic","3h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","SHCBP1","-1.301","-4.491","True"
"Hvk16","2h","","GSE54181","MicroArray","GPL10558","RBCK1","0.730","4.488","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","OLR1","0.797","4.488","True"
"Hck","24h","","GSE54181","MicroArray","GPL10558","PRSS23","-0.756","-4.488","True"
"Primary B","18h","","GSE132835","RNASeq","","KLHL24","-3.171","-4.486","False"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","SNX2","-1.107","-4.485","False"
"Hck18","24h","","GSE54181","MicroArray","GPL10558","RRAD","0.634","4.485","True"
