"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","STIM2","0.825","3.807","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","ST6GALNAC2","-0.825","-3.804","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","SPATA20","-0.427","-3.799","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","APOO","0.824","3.798","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","CAPNS2","1.130","3.797","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","MIR22HG","-0.427","-3.796","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","TRABD","-0.427","-3.795","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","PNN","-0.427","-3.794","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","FJX1","0.572","3.793","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","DPT","1.129","3.791","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","CCL7","-1.129","-3.791","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","VAX2","1.128","3.790","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","CYS1","1.128","3.790","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","SLC12A8","-1.128","-3.789","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","UHRF1","1.128","3.787","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CA6","0.821","3.787","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","TUBGCP6","-0.426","-3.787","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","KIAA0040","1.127","3.784","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","MGARP","-1.126","-3.784","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","SCAF11","0.571","3.782","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","ABCG1","-1.126","-3.782","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","LINC01550","-1.126","-3.782","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","IKZF3","1.126","3.781","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","KIFC2","-0.425","-3.778","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","EZH2","0.819","3.777","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","RFWD3","0.570","3.775","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","PDE3B","-0.818","-3.775","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","MT1A","0.424","3.772","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","ITGA4","0.818","3.771","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","FAM111A","-0.424","-3.771","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","ACKR4","-0.569","-3.770","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","S100B","-1.122","-3.769","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","ALDH8A1","0.569","3.769","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","MNDA","-0.423","-3.765","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","LIF","1.121","3.764","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","WDR3","0.814","3.753","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","KLHL31","1.117","3.753","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","INHBE","1.117","3.753","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","CD6","-0.422","-3.752","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","AFAP1L2","0.566","3.749","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","SLC2A12","-1.116","-3.749","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","ABCD4","-0.422","-3.747","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","CR2","-1.114","-3.744","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","ERMN","-0.421","-3.743","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","PTK7","-1.112","-3.735","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","ETV5","0.420","3.731","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","FMOD","1.111","3.730","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","MS4A14","-0.420","-3.729","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","HLA-DMB","-0.419","-3.729","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","ZNF266","-0.419","-3.728","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","PDE7B","-0.806","-3.718","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","FAM193B","-0.418","-3.717","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CHKA","0.806","3.716","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","TMSB4Y","-1.106","-3.715","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","CCDC65","-1.106","-3.714","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","AQP3","-1.105","-3.712","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","PIK3R6","-0.560","-3.712","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","PLK5","1.105","3.711","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","RBM5","-0.417","-3.710","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","TAF1C","-0.417","-3.710","False"
