"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ACSL4","-0.300","-2.494","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","EXOC6B","-0.260","-2.494","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","IDUA","-0.190","-2.494","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SMCP","-0.190","-2.493","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","IVD","-0.190","-2.492","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TUBGCP2","0.242","2.492","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","PYHIN1","-1.447","-2.492","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MAP4K5","-1.446","-2.492","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PPFIA1","0.260","2.492","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZNF329","-1.446","-2.491","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","RPP40","-0.262","-2.491","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","SIGLEC9","0.305","2.490","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LYN","0.305","2.490","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CEBPD","0.371","2.490","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","HSPE1","-1.445","-2.490","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","DHRS9","1.445","2.490","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","KIR3DL1","-0.371","-2.490","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","LRRC31","-0.223","-2.489","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","LY75","-0.260","-2.489","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","MYEF2","-0.189","-2.489","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","DND1","-0.223","-2.489","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","NAMPT","0.242","2.489","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","APOBEC3B","-0.260","-2.489","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TMEM134","-0.242","-2.489","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","GSN","-0.189","-2.488","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","BCL6","0.262","2.488","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","GALNT14","0.370","2.487","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","GPR19","0.189","2.487","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","DDAH2","0.300","2.487","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CHODL","0.300","2.487","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","SH2D2A","-1.443","-2.487","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PTPN11","0.189","2.486","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","TIGIT","-1.443","-2.486","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","BCAT1","0.300","2.486","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","RORA","-1.443","-2.485","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","P2RY2","0.241","2.485","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","S100B","-0.262","-2.485","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","DPYSL2","-0.189","-2.485","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CD3G","-1.442","-2.484","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","IRF6","0.259","2.484","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ROR2","0.189","2.484","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","NUMA1","-0.299","-2.484","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","DERA","-0.259","-2.483","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PTGER2","0.223","2.483","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","FSCN1","-0.261","-2.482","True"
