"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","SHCBP1","0.767","3.157","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","TEX12","1.220","3.156","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","MACROH2A2","0.177","3.156","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","USP18","0.832","3.155","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","ADAMDEC1","-0.177","-3.155","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","CHRM2","-0.144","-3.155","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","VSX1","-0.177","-3.155","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","SPANXB1","-0.144","-3.155","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","STC1","0.144","3.154","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","CRYBB1","-0.144","-3.154","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","CRISPLD1","0.134","3.154","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","BAMBI","1.384","3.154","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","CMAHP","-0.167","-3.154","True"
"Calu32B4","24h","","GSE56678","MicroArray","GPL6480","STEAP1","0.831","3.153","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","STIL","0.766","3.153","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","CNIH3","0.176","3.153","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","AGMO","0.166","3.153","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","HDAC9","0.166","3.153","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","AVIL","0.672","3.153","True"
"Hela","0.5h","","GSE52465","MicroArray","GPL6480","CELA1","0.672","3.152","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","CX3CL1","1.022","3.152","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","CRHBP","1.383","3.151","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","PLAC1","-0.765","-3.151","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","ITGA11","-0.134","-3.148","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","PREX2","0.176","3.148","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","CCDC110","-0.143","-3.147","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","TRIB1","0.143","3.147","True"
