"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","HJURP","0.593","4.555","False"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","UTP20","2.498","4.555","False"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","BRCA2","0.515","4.554","False"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","RNF152","0.745","4.553","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","SPINK1","-1.370","-4.552","True"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","TENT5C","-0.745","-4.552","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","KRT4","-1.101","-4.549","False"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","DDIT3","-0.715","-4.549","False"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","GDF15","0.514","4.548","False"
"Hbe","24h","","GSE10240","MicroArray","HG-U133A_2","SERPINB7","1.074","4.547","False"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ATOH8","0.744","4.547","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","GPS1","2.920","4.546","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","KLK6","1.127","4.545","True"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","SPHK1","0.715","4.545","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","SPSB3","1.100","4.544","False"
"Fibroblast","12h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","KIF14","0.547","4.543","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","RNASE7","1.367","4.542","True"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","EXO1","-0.591","-4.540","False"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","SERPINB3","1.126","4.540","True"
"Fibroblast","12h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","HJURP","0.547","4.538","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","PRXL2A","2.289","4.538","False"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","ELOVL7","1.125","4.537","True"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","OLFML1","-0.713","-4.537","False"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","CTTNBP2","-0.672","-4.536","True"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","KPNA6","-1.098","-4.536","False"
"Primary Hepatic Stellate","","40ng/mL","GSE119047","RNASeq","","TMEM171","0.239","4.536","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","TMEM259","2.913","4.535","True"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","HILPDA","0.661","4.535","False"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","BLM","2.488","4.535","False"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","AMIGO2","1.125","4.535","True"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","SLC39A8","0.590","4.532","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","CLEC4A","-2.286","-4.531","False"
"Cd14+ Monocyte","24h","200ng/mL","GSE54884","MicroArray","HG-U133A_2","AMIGO2","-1.616","-4.531","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","MMP1","1.124","4.530","True"
"Cd14+ Monocyte","24h","200ng/mL","GSE54884","MicroArray","HG-U133A_2","PDPK1","1.616","4.530","True"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","LOC154761","0.845","4.530","False"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","CIART","0.661","4.530","False"
"Cultured Primary Keratinocyte","","1ng/mL","GSE24767","MicroArray","GPL6947","CFB","0.610","4.529","True"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","XDH","1.363","4.528","True"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","SNAP23","2.909","4.528","True"
"Fibroblast","12h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MND1","0.545","4.527","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","DUSP4","-2.283","-4.526","False"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","MMP9","2.283","4.526","False"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","H2BC13","0.511","4.526","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","TNFRSF1A","-1.095","-4.525","False"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","RASGRP1","1.122","4.524","True"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","POP1","1.070","4.523","True"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","BRI3","-1.095","-4.523","False"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","CDC45","0.711","4.523","False"
"Fibroblast","1h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","EFNB2","-0.740","-4.520","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","CNOT3","-1.094","-4.520","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","ISG20L2","2.903","4.519","True"
