,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
70,CALI2,D09,AgPool5,5,14400.0,ng/mL,IL-12 p70,IL-12 p40,81.40216885751066
71,CALI2,D10,AgPool5,5,9.437184,ng/mL,IL-12 p70,IL-12 p40,4.095985923611956
72,CALI2,E03,AgPool2,2,5760.0,ng/mL,IL-23,IL-12 p40,82.89835076443204
73,CALI2,E04,AgPool2,2,3.774874,ng/mL,IL-23,IL-12 p40,3.1982896123608384
74,CALI2,E07,AgPool4,4,5760.0,ng/mL,IL-12 p40,IL-12 p40,85.66461168080987
75,CALI2,E08,AgPool4,4,3.774874,ng/mL,IL-12 p40,IL-12 p40,4.268215350040805
76,CALI2,E09,AgPool5,5,5760.0,ng/mL,IL-12 p70,IL-12 p40,81.67250805503379
77,CALI2,E10,AgPool5,5,3.774874,ng/mL,IL-12 p70,IL-12 p40,0.6720241387915493
78,CALI2,F03,AgPool2,2,2304.0,ng/mL,IL-23,IL-12 p40,82.12197811949515
79,CALI2,F04,AgPool2,2,1.509949,ng/mL,IL-23,IL-12 p40,0.816141225615219
80,CALI2,F07,AgPool4,4,2304.0,ng/mL,IL-12 p40,IL-12 p40,85.87862582080649
81,CALI2,F08,AgPool4,4,1.509949,ng/mL,IL-12 p40,IL-12 p40,0.879532285876472
82,CALI2,F09,AgPool5,5,2304.0,ng/mL,IL-12 p70,IL-12 p40,79.22322217362634
83,CALI2,F10,AgPool5,5,1.509949,ng/mL,IL-12 p70,IL-12 p40,-0.7248554909898175
84,CALI2,G03,AgPool2,2,921.6,ng/mL,IL-23,IL-12 p40,79.50527624868187
85,CALI2,G04,AgPool2,2,0.60398,ng/mL,IL-23,IL-12 p40,-0.06597982623244292
86,CALI2,G07,AgPool4,4,921.6,ng/mL,IL-12 p40,IL-12 p40,84.12486643080115
87,CALI2,G08,AgPool4,4,0.60398,ng/mL,IL-12 p40,IL-12 p40,0.3795098070092706
88,CALI2,G09,AgPool5,5,921.6,ng/mL,IL-12 p70,IL-12 p40,74.56521409636156
89,CALI2,G10,AgPool5,5,0.60398,ng/mL,IL-12 p70,IL-12 p40,-1.69942846711848
90,CALI2,H03,AgPool2,2,368.64000000000004,ng/mL,IL-23,IL-12 p40,72.34013506983902
