,stimulus_concentration,IFN gamma,TNF alpha,IL-2,IL-10
1888,0,192.284733493941,4199.3362224273,3.73143567860362,11.21306752308118
1890,0,646.483122602056,2637.40733653856,3.73143567860362,11.21306752308118
1894,0,246.145204798411,2306.22060240615,3.73143567860362,11.21306752308118
1966,0,311.579900772139,5245.05936032878,3.73143567860362,11.21306752308118
1990,0,301.944028113701,3777.25999144392,4.04211891560541,11.21306752308118
2014,0,307.725326013516,5245.05936032878,3.73143567860362,11.21306752308118
2038,0,273.561661964827,2573.95075459437,3.73143567860362,11.21306752308118
2062,0,439.209095839415,5245.05936032878,3.73143567860362,11.21306752308118
2086,0,225.70622480496,5245.05936032878,3.73143567860362,11.21306752308118
2110,0,331.972929058808,5245.05936032878,3.73143567860362,11.21306752308118
2134,0,465.503904519447,4591.46919594171,3.73143567860362,11.21306752308118
2158,0,368.37491387801,5245.05936032878,3.73143567860362,11.21306752308118
2182,0,340.809008504655,2989.41773929266,3.73143567860362,11.21306752308118
2206,0,380.845785750085,3988.79740782066,3.73143567860362,11.21306752308118
2230,0,414.197388995909,3696.23566446298,3.73143567860362,11.21306752308118
2254,0,256.228109926573,2672.38753761251,3.73143567860362,11.21306752308118
2278,0,377.461737400246,4233.0945014289,3.73143567860362,11.21306752308118
