,plate_name,plate_barcode,position,sample,pool,concentration,concentration_unit,sample_ag,variable,value
62,Change plating,Change plating,H05,AgPool3,3.0,368.64000000000004,ng/mL,IL-23,IL-12 p40,76.1485562141249
63,Change plating,Change plating,H06,AgPool3,3.0,0.241592,ng/mL,IL-23,IL-12 p40,1.56144039716797
64,duplicate of reference,duplicate of reference,A03,AgPool2,2.0,225000.0,ng/mL,IL-12 p70,IL-12 p40,81.8842200210707
65,duplicate of reference,duplicate of reference,A04,AgPool2,2.0,147.45600000000002,ng/mL,IL-12 p70,IL-12 p40,8.85930081885473
66,duplicate of reference,duplicate of reference,A05,AgPool3,3.0,225000.0,ng/mL,IL-23,IL-12 p40,140.862158049431
67,duplicate of reference,duplicate of reference,A06,AgPool3,3.0,147.45600000000002,ng/mL,IL-23,IL-12 p40,41.6247024762464
68,duplicate of reference,duplicate of reference,B03,AgPool2,2.0,90000.0,ng/mL,IL-12 p70,IL-12 p40,71.8484183173096
69,duplicate of reference,duplicate of reference,B04,AgPool2,2.0,58.9824,ng/mL,IL-12 p70,IL-12 p40,2.02799341070754
70,duplicate of reference,duplicate of reference,B05,AgPool3,3.0,90000.0,ng/mL,IL-23,IL-12 p40,140.421209990461
71,duplicate of reference,duplicate of reference,B06,AgPool3,3.0,58.9824,ng/mL,IL-23,IL-12 p40,18.8057202701328
72,duplicate of reference,duplicate of reference,C03,AgPool2,2.0,36000.0,ng/mL,IL-12 p70,IL-12 p40,60.9968545187716
73,duplicate of reference,duplicate of reference,C04,AgPool2,2.0,23.592959999999998,ng/mL,IL-12 p70,IL-12 p40,2.89974990598448
74,duplicate of reference,duplicate of reference,C05,AgPool3,3.0,36000.0,ng/mL,IL-23,IL-12 p40,138.261397290099
75,duplicate of reference,duplicate of reference,C06,AgPool3,3.0,23.592959999999998,ng/mL,IL-23,IL-12 p40,11.0726405426127
76,duplicate of reference,duplicate of reference,D03,AgPool2,2.0,14400.0,ng/mL,IL-12 p70,IL-12 p40,54.2355103311677
77,duplicate of reference,duplicate of reference,D04,AgPool2,2.0,9.437184,ng/mL,IL-12 p70,IL-12 p40,0.551090185088998
78,duplicate of reference,duplicate of reference,D05,AgPool3,3.0,14400.0,ng/mL,IL-23,IL-12 p40,133.153715736715
