,experiment_id,reagent_lot,plate_id,date,MIF,MMP-1,Tie-2,TNF alpha,TNF beta,TNF RII,VEGF-A (165),VEGF-A (165),EMMPRIN,Oncostatin M (OSM),PTX3 (Pentraxin 3),Activin A,CCL18,CCL19,CCL20,TIMP1,Resistin,BMP9,CCL22,CD14,TGF-beta 1 (LAP domain in precursor),CXCL1,CXCL3,CXCL4,CXCL5,CXCL7,CXCL11,CXCL16,G-CSF,IFN beta,IFN gamma,60.3 - IFN gamma - nEL xDR - 1166,IL-1 alpha,IL-1 alpha,IL-18,IL-1 RA/RN,CCL4,IL-6,IL-6,IL-10,IL-10,IL-12 p40,IL-16,IL-1 beta,TNFRSF21 (DR6),Peptidoglycan recognition protein 1 (PGLYRP1/PGRP-S),Decorin,Thrombospondin-1,Neutrophil Elastase/ELA2,Galectin-1,Metalloproteinase inhibitor 2,Galectin-3,"Neutrophil gelatinase-associated lipocalin (NGAL, lipocalin-2)",soluble uPA-R,Angiopoietin-1,Transforming growth factor-beta-induced protein ig-h3
20,nEL2.5.253,Lot 2,2578,10-May-24,689.8923872,459.383132,536.1499661,2394.722621,10.41458329,207.4759534,10.01726971,3.899934712,366.5166592,24.595274,,,17.89812563,62.17137973,198.551975,1379.361892,,,9.066171411,1271.661519,,423.7742247,43.72490001,4997.638901,68.22682854,446.3437116,70.91385406,251.1780448,180.3871168,32.72713495,58.22211955,,207.3646675,212.7656051,,1523.55783,2230.15355,2328.215018,2514.154163,349.9106197,163.8122681,11.01410175,107.4157251,2473.93718,5.668131652,6.889687305,115.1756135,105060.1969,854.9938386,28357.70783,99.62434484,2827.508835,89.26644701,807.3652147,269.8472573,632.1171681
21,nEL2.5.254,Lot 2,2588,14-May-24,694.8661235,522.0121071,,2196.40835,,213.1906136,11.72625196,4.531755472,336.1910819,23.0354178,,232.8479837,15.05206215,39.85947984,108.1141245,1330.362221,164.3704039,11.46468946,11.34980834,1265.158881,,368.9675165,37.52531634,4207.699721,59.43757048,530.8052846,53.0776008,234.2965298,195.8632488,40.46895219,,,227.1090648,236.2248568,,1417.478667,2001.981671,1487.532121,2744.958547,415.8333213,166.0820592,10.37259967,103.5995483,2775.994293,7.183887389,7.145066395,103.4802129,,765.3445089,28068.50072,97.17648617,3035.551128,70.623213,652.6830758,283.5092475,590.8568021
22,nEL2.5.255,Lot 4,2617,16-May-24,846.8939516,486.4685917,,2650.07311,20.56473266,210.0071117,,3.995501952,374.8131987,25.64754328,,209.8047418,18.04176586,69.9366877,158.1002656,1186.830011,,6.870708591,9.864162585,1221.612162,,365.7751316,50.34101137,5405.842573,64.51959951,341.1829833,76.92016901,229.0390812,167.287116,33.29981419,57.30650739,82.91451224,207.0472102,207.9936692,,1611.513648,2790.368813,1777.646392,2252.51383,332.416042,174.6601531,9.987322646,100.7649476,2636.10917,5.806412803,5.929909942,94.76609816,,773.9851918,26897.22754,95.41974488,2472.423132,74.93948798,761.0888792,230.8529875,645.7564694
23,nEL2.5.256,Lot 3,2623,16-May-24,787.9918752,552.6412082,,2929.9512,15.45079425,243.2846415,,4.861815777,352.4666761,31.03272569,,,19.33973991,75.14654114,187.6839921,1018.03313,,10.4631916,17.46979373,1207.033184,59.47739117,418.6001293,46.63449238,3608.527493,72.83380899,836.7561293,93.37410033,256.7822658,175.1466865,38.50558183,84.09572979,108.8713148,231.6778085,237.2115969,,1602.359674,2787.359655,1869.467805,2182.334873,356.9119831,194.3221278,12.02705521,115.5576456,2538.524406,6.738388895,7.785876785,98.85525166,,610.1664543,28594.88035,115.3072572,2437.646188,74.70232769,661.8578873,211.1158319,675.966838
24,nEL2.5.261,Lot 2,2677,27-May-24,736.30261,425.597234,708.8279264,2158.244017,,206.9150704,9.539113399,4.323094976,310.7138268,21.27569245,,226.3363722,18.03739089,64.34758904,166.6545628,1372.88593,,,9.099151104,1275.532169,,355.5345179,48.13375691,4270.820421,67.67209258,294.8121277,74.85369775,246.656442,195.7725792,42.7827903,,,187.261579,209.6585983,33.94602203,1468.232668,,1939.987046,2830.508365,366.6248278,147.622743,10.44909736,96.38865773,3140.037808,5.37625204,6.818532975,108.8066788,,756.9237656,29392.79156,110.2285412,2527.83543,71.28718434,779.4478238,257.1683903,653.7679842
25,nEL2.5.262,Lot 2,2715,29-May-24,684.998663,470.6721432,591.3968135,2767.20811,6.542261468,203.3981636,,4.652261669,332.1496366,30.64639764,,,15.2276441,35.36666172,126.1947443,1356.708598,,10.90302222,14.03624199,1318.207142,107.6564168,370.2980125,41.95785143,3676.631734,59.73013418,456.2521301,56.81582493,241.0901615,210.4924209,37.74291137,,,210.6061509,208.8221634,37.35434622,1603.877959,1259.318237,1440.239084,2417.435048,383.8684318,168.2217226,11.67182394,105.0068127,2124.821208,6.548340853,8.014371347,109.128396,,796.1402828,29588.81559,110.9733078,2212.831446,80.43539065,587.0013334,272.8352005,607.1993476
26,nEL2.5.265,Lot 4,2720,03-Jun-24,917.5046146,494.0658221,,2884.20536,18.07520629,229.9988171,,3.801370742,375.1088048,29.03250272,,,17.68259777,73.75667409,168.5592211,996.2535338,,6.830383812,21.07461872,1214.151674,49.54274753,413.84787,53.88833576,5064.839608,72.67812968,407.2652896,80.10694693,236.6827279,178.3693579,31.74404469,50.29886932,89.18778266,216.4428749,218.5406276,38.19439531,1689.541858,,1798.469617,2125.3047,353.4001898,187.4407527,10.95898217,103.0677637,2821.082316,5.722260343,6.549726771,108.5964995,,841.2938341,30212.4574,108.895966,2516.690343,73.96711014,781.2942982,235.6151043,659.1138366
27,nEL2.5.266,Lot 3,2742,04-Jun-24,931.2619423,572.9086511,589.4854326,2870.431292,11.79108245,245.553024,13.66300446,6.487692819,351.72204,24.09421682,860.9507986,349.4514571,19.08041124,76.33599783,196.0059719,1277.846893,,9.41512453,19.04715897,1504.121044,95.32855665,420.1911846,54.24773708,5272.181645,74.92810117,437.7847591,88.71742544,230.6479126,188.9719471,47.03892923,81.06734548,108.8908137,226.1171989,223.0519228,,1621.388279,2822.391454,1972.999355,1906.320407,373.7766062,195.5554846,11.60756664,127.5927738,2122.045829,7.77292366,7.968645245,,,842.9131074,29461.43475,137.9335344,2792.951865,78.89207151,672.9634325,288.4005984,804.2301013
28,nEL2.5.267,Lot 4,2753,05-Jun-24,824.1429101,511.0446713,,2645.595037,27.10248686,211.3470496,,4.063382657,357.3013404,27.093356,690.0964634,,18.69356045,69.57352476,156.4443222,1049.972838,,8.088145948,21.5340479,1154.341428,,399.3608923,49.03387648,4694.62584,68.94255445,393.8885469,84.11872996,251.1489574,162.5920663,31.84504347,64.7423897,84.87609156,201.0592549,203.5869278,45.99107676,1643.775007,2920.494659,1934.115194,2287.403252,345.363569,162.1427834,10.05549814,102.5818507,2775.34422,5.88829686,6.733954749,97.14676721,,733.388187,29102.61762,100.1301473,2428.96812,75.59516467,775.9505397,270.0278134,598.3909268
29,nEL2.5.268,Lot 2,2775,06-Jun-24,770.5197757,497.3700032,,2176.358996,,247.9026293,,4.797304947,342.0629759,32.217937,,,19.44651724,79.82932397,186.3889808,1458.196736,,11.35158332,24.62185472,1568.48986,,379.9777724,60.38597822,5783.091243,77.38927264,413.405688,95.93540681,257.1443097,214.7902044,58.56898298,,,225.973999,247.2208349,,1536.087323,2296.726005,1849.267781,2965.107087,369.8224771,178.8080289,12.01180377,100.0230031,3560.696615,7.225987892,8.09157024,94.87028568,,879.4247149,28472.3475,118.1053272,2749.575257,74.26544422,665.6597282,292.6643029,820.4294738
